size	stride	elapsed(s)	cycles
4096	1	0.006798	2345
4096	2	0.008673	1849
4096	4	0.009750	1072
4096	8	0.010827	1075
4096	16	0.011908	1079
4096	32	0.013005	1095
4096	64	0.014130	1123
4096	128	0.015308	1177
4096	256	0.016321	1012
4096	512	0.017323	1000
4096	1024	0.018322	997
4096	2048	0.019369	1045
8192	1	0.021442	2047
8192	2	0.023424	1971
8192	4	0.025403	1973
8192	8	0.027377	1970
8192	16	0.029359	1979
8192	32	0.031348	1987
8192	64	0.033398	2048
8192	128	0.035456	2056
8192	256	0.037625	2168
8192	512	0.039504	1877
8192	1024	0.041346	1840
8192	2048	0.043243	1895
8192	4096	0.045252	2008
16384	1	0.049256	3951
16384	2	0.053221	3944
16384	4	0.057172	3939
16384	8	0.061120	3941
16384	16	0.065071	3947
16384	32	0.069038	3964
16384	64	0.073037	3997
16384	128	0.077074	4035
16384	256	0.081211	4135
16384	512	0.085537	4325
16384	1024	0.089254	3715
16384	2048	0.093093	3837
16384	4096	0.097224	4131
16384	8192	0.101238	4012
32768	1	0.109228	7890
32768	2	0.117156	7888
32768	4	0.125062	7885
32768	8	0.132970	7896
32768	16	0.140917	7941
32768	32	0.148850	7928
32768	64	0.156841	7988
32768	128	0.164855	8012
32768	256	0.173012	8155
32768	512	0.181342	8329
32768	1024	0.190004	8660
32768	2048	0.197678	7673
32768	4096	0.206195	8516
32768	8192	0.214457	8261
32768	16384	0.222480	8022
65536	1	0.238462	15803
65536	2	0.254349	15807
65536	4	0.270176	15786
65536	8	0.286026	15828
65536	16	0.301953	15915
65536	32	0.318146	16187
65536	64	0.335861	17711
65536	128	0.353607	17743
65536	256	0.371425	17816
65536	512	0.389177	17750
65536	1024	0.407835	18656
65536	2048	0.428778	20941
65536	4096	0.480376	51596
65536	8192	0.497828	17450
65536	16384	0.514369	16539
65536	32768	0.530434	16064
131072	1	0.562397	31610
131072	2	0.594224	31669
131072	4	0.625877	31573
131072	8	0.657620	31702
131072	16	0.689467	31825
131072	32	0.721846	32368
131072	64	0.757213	35360
131072	128	0.792425	35207
131072	256	0.827886	35458
131072	512	0.863410	35522
131072	1024	0.900124	36711
131072	2048	0.940768	40642
131072	4096	1.043236	102466
131072	8192	0.146415	103177
131072	16384	0.180445	34028
131072	32768	0.213483	33036
131072	65536	0.245582	32098
262144	1	0.309543	63267
262144	2	0.373306	63447
262144	4	0.436823	63359
262144	8	0.500582	63678
262144	16	0.564719	64095
262144	32	0.630940	66198
262144	64	0.705380	74427
262144	128	0.778838	73450
262144	256	0.852018	73176
262144	512	0.924962	72941
262144	1024	1.004557	79592
262144	2048	0.097387	92828
262144	4096	0.305648	208259
262144	8192	0.509854	204204
262144	16384	0.717019	207163
262144	32768	0.785061	68040
262144	65536	0.851141	66078
262144	131072	0.915418	64275
524288	1	1.043317	126541
524288	2	0.170730	126784
524288	4	0.297932	126883
524288	8	0.425626	127534
524288	16	0.554514	128806
524288	32	0.688606	134048
524288	64	0.841446	152815
524288	128	0.991807	150347
524288	256	1.142468	150652
524288	512	0.294939	152467
524288	1024	0.466357	171414
524288	2048	0.663559	197199
524288	4096	1.000282	336721
524288	8192	0.411538	411253
524288	16384	0.818689	407149
524288	32768	1.221685	402994
524288	65536	0.370585	148898
524288	131072	0.502753	132166
524288	262144	0.631209	128454
1048576	1	0.887060	253131
1048576	2	1.141896	253580
1048576	4	0.396434	253909
1048576	8	0.652132	255380
1048576	16	0.910119	257825
1048576	32	1.179136	268933
1048576	64	0.486554	307370
1048576	128	0.789125	302546
1048576	256	1.093102	303963
1048576	512	0.402547	309437
1048576	1024	0.750824	348271
1048576	2048	1.149780	398952
1048576	4096	0.767166	617383
1048576	8192	1.394845	627677
1048576	16384	1.221369	826521
1048576	32768	1.090291	868920
1048576	65536	0.897036	806743
1048576	131072	1.194714	297676
1048576	262144	0.459027	264311
1048576	524288	0.716107	257079
2097152	1	1.228197	506670
2097152	2	0.738440	507730
2097152	4	1.248214	508513
2097152	8	0.760839	511991
2097152	16	1.278472	517311
2097152	32	0.819092	540453
2097152	64	1.437349	618163
2097152	128	1.042928	605532
2097152	256	0.651169	608216
2097152	512	1.270807	619623
2097152	1024	0.967985	697169
2097152	2048	1.765991	798000
2097152	4096	2.125360	1359364
2097152	8192	1.557556	1432193
2097152	16384	2.304670	1747111
2097152	32768	2.007645	1702972
2097152	65536	1.454594	1446892
2097152	131072	2.102830	1648234
2097152	262144	0.697325	594493
2097152	524288	1.234704	537377
2097152	1048576	0.748645	513938
4194304	1	1.780133	1020606
4194304	2	1.806461	1021272
4194304	4	1.829206	1020213
4194304	8	1.868616	1038116
4194304	16	1.936261	1066982
4194304	32	2.084108	1147489
4194304	64	1.436338	1352024
4194304	128	1.794107	1357662
4194304	256	2.202405	1408241
4194304	512	1.710102	1507664
4194304	1024	2.436704	1726583
4194304	2048	2.376340	1939624
4194304	4096	3.042318	2665968
4194304	8192	2.597586	2555261
4194304	16384	3.167761	2570171
4194304	32768	2.760404	2592639
4194304	65536	3.270786	2510378
4194304	131072	2.767259	2496470
4194304	262144	3.261254	2493992
4194304	524288	2.065426	1804169
4194304	1048576	1.123057	1057629
4194304	2097152	1.150698	1027639
