size	stride	elapsed(s)	cycles
4096	1	0.007495	928
4096	2	0.008445	940
4096	4	0.009400	951
4096	8	0.010397	995
4096	16	0.011396	997
4096	32	0.012467	1069
4096	64	0.013651	1183
4096	128	0.015012	1360
4096	256	0.016338	1324
4096	512	0.017442	1103
4096	1024	0.018233	788
4096	2048	0.019030	791
8192	1	0.020942	1886
8192	2	0.022819	1865
8192	4	0.024685	1860
8192	8	0.026591	1903
8192	16	0.028539	1944
8192	32	0.030455	1911
8192	64	0.032474	2016
8192	128	0.034791	2313
8192	256	0.037460	2665
8192	512	0.040255	2794
8192	1024	0.041855	1599
8192	2048	0.043517	1659
8192	4096	0.045238	1719
16384	1	0.048978	3693
16384	2	0.052707	3709
16384	4	0.056449	3731
16384	8	0.060207	3752
16384	16	0.064067	3853
16384	32	0.067885	3813
16384	64	0.071714	3826
16384	128	0.075707	3992
16384	256	0.080265	4556
16384	512	0.086490	6224
16384	1024	0.089759	3268
16384	2048	0.093188	3427
16384	4096	0.096739	3549
16384	8192	0.100141	3400
32768	1	0.107471	7255
32768	2	0.114939	7432
32768	4	0.122472	7511
32768	8	0.129614	7130
32768	16	0.136626	7005
32768	32	0.143409	6780
32768	64	0.150285	6874
32768	128	0.157886	7599
32768	256	0.166078	8190
32768	512	0.176193	10114
32768	1024	0.182857	6663
32768	2048	0.189699	6840
32768	4096	0.196890	7190
32768	8192	0.203988	7096
32768	16384	0.210771	6781
65536	1	0.224718	13801
65536	2	0.238192	13402
65536	4	0.252463	14233
65536	8	0.266998	14516
65536	16	0.281480	14472
65536	32	0.295916	14431
65536	64	0.308664	12744
65536	128	0.322258	13592
65536	256	0.337853	15593
65536	512	0.357079	19224
65536	1024	0.370026	12946
65536	2048	0.402263	32235
65536	4096	0.446073	43808
65536	8192	0.460131	14056
65536	16384	0.474487	14355
65536	32768	0.488127	13636
131072	1	0.516446	28010
131072	2	0.543349	26760
131072	4	0.571908	28489
131072	8	0.600930	28986
131072	16	0.629897	28948
131072	32	0.658516	28608
131072	64	0.684413	25890
131072	128	0.712956	28538
131072	256	0.745390	32432
131072	512	0.784859	39467
131072	1024	0.812051	27190
131072	2048	0.873155	61102
131072	4096	0.979679	106522
131072	8192	1.045737	66055
131072	16384	0.074499	28760
131072	32768	0.102779	28278
131072	65536	0.129447	26666
262144	1	0.184726	54701
262144	2	0.238009	53011
262144	4	0.295149	57002
262144	8	0.351951	56732
262144	16	0.408039	56053
262144	32	0.462399	54341
262144	64	0.514519	52109
262144	128	0.573303	58778
262144	256	0.640857	67550
262144	512	0.717153	76293
262144	1024	0.782805	65650
262144	2048	0.935762	152955
262144	4096	1.159843	224079
262144	8192	0.383116	223271
262144	16384	0.516161	133043
262144	32768	0.575088	58925
262144	65536	0.633548	58458
262144	131072	0.686941	53392
524288	1	0.796898	108840
524288	2	0.903938	106502
524288	4	1.017959	113753
524288	8	0.132240	114143
524288	16	0.243146	110837
524288	32	0.350233	107052
524288	64	0.459602	109350
524288	128	0.592866	133253
524288	256	0.756064	163189
524288	512	0.932071	176002
524288	1024	1.099553	167478
524288	2048	0.257710	158153
524288	4096	0.717143	459430
524288	8192	1.175974	458828
524288	16384	0.624850	448873
524288	32768	0.918842	293989
524288	65536	1.040632	121787
524288	131072	0.159845	119211
524288	262144	0.267887	108038
1048576	1	0.489198	219084
1048576	2	0.699488	209216
1048576	4	0.926141	226118
1048576	8	1.154428	228011
1048576	16	0.376202	221639
1048576	32	0.590410	214139
1048576	64	0.810846	220399
1048576	128	1.084895	274027
1048576	256	0.425421	340510
1048576	512	0.791654	366224
1048576	1024	1.136733	345073
1048576	2048	0.447216	310479
1048576	4096	1.355698	908478
1048576	8192	1.247233	891531
1048576	16384	1.149927	902692
1048576	32768	1.049107	899177
1048576	65536	0.637709	588599
1048576	131072	0.878563	240851
1048576	262144	1.114095	235530
1048576	524288	0.326775	212678
2097152	1	0.766439	435271
2097152	2	1.187418	418808
2097152	4	0.637092	448603
2097152	8	1.086864	449237
2097152	16	0.534473	447340
2097152	32	0.961624	427013
2097152	64	1.399595	437898
2097152	128	0.946453	546813
2097152	256	1.621346	674864
2097152	512	1.351197	729835
2097152	1024	1.042325	691118
2097152	2048	0.665673	623341
2097152	4096	2.504533	1838853
2097152	8192	2.314360	1809821
2097152	16384	2.191144	1876781
2097152	32768	2.004530	1813381
2097152	65536	1.654624	1650058
2097152	131072	2.289297	1634670
2097152	262144	0.770850	481550
2097152	524288	1.238195	467342
2097152	1048576	0.666056	427859
4194304	1	1.543310	868278
4194304	2	1.385593	837975
4194304	4	1.290009	902274
4194304	8	1.195344	904268
4194304	16	1.090801	894908
4194304	32	0.950946	859871
4194304	64	1.849327	898234
4194304	128	1.962280	1112867
4194304	256	2.376696	1414361
4194304	512	1.889484	1512757
4194304	1024	2.337249	1447748
4194304	2048	1.723091	1385828
4194304	4096	4.351927	3628823
4194304	8192	4.013848	3661913
4194304	16384	3.852391	3838537
4194304	32768	4.541447	3689051
4194304	65536	4.064063	3522609
4194304	131072	3.645662	3581596
4194304	262144	3.924980	3279315
4194304	524288	1.888734	963751
4194304	1048576	1.823289	934552
4194304	2097152	1.678782	855490
