size	stride	elapsed(s)	cycles
4096	1	0.003400	960
4096	2	0.004367	957
4096	4	0.005328	957
4096	8	0.006232	901
4096	16	0.007154	921
4096	32	0.008041	885
4096	64	0.008921	879
4096	128	0.009737	814
4096	256	0.010562	823
4096	512	0.011381	818
4096	1024	0.012144	762
4096	2048	0.012928	782
8192	1	0.014789	1839
8192	2	0.016656	1854
8192	4	0.018591	1926
8192	8	0.020375	1781
8192	16	0.022212	1833
8192	32	0.024054	1840
8192	64	0.025871	1812
8192	128	0.027721	1846
8192	256	0.029400	1675
8192	512	0.031091	1687
8192	1024	0.032693	1599
8192	2048	0.034349	1654
8192	4096	0.036050	1699
16384	1	0.039776	3670
16384	2	0.043471	3676
16384	4	0.047128	3644
16384	8	0.050854	3720
16384	16	0.054488	3629
16384	32	0.058169	3678
16384	64	0.061959	3786
16384	128	0.065687	3725
16384	256	0.069125	3436
16384	512	0.072479	3352
16384	1024	0.075737	3257
16384	2048	0.079141	3403
16384	4096	0.082688	3545
16384	8192	0.086080	3391
32768	1	0.093381	7225
32768	2	0.100779	7363
32768	4	0.108154	7353
32768	8	0.115259	7094
32768	16	0.122186	6921
32768	32	0.128976	6786
32768	64	0.136279	7300
32768	128	0.143529	7248
32768	256	0.150720	7190
32768	512	0.157519	6797
32768	1024	0.164182	6661
32768	2048	0.171012	6829
32768	4096	0.178203	7189
32768	8192	0.185300	7095
32768	16384	0.192082	6780
65536	1	0.205974	13747
65536	2	0.219324	13279
65536	4	0.233668	14307
65536	8	0.248157	14471
65536	16	0.262490	14323
65536	32	0.276518	14022
65536	64	0.288881	12359
65536	128	0.301387	12504
65536	256	0.313906	12517
65536	512	0.326535	12627
65536	1024	0.339673	13136
65536	2048	0.376395	36721
65536	4096	0.409050	32653
65536	8192	0.423110	14058
65536	16384	0.437062	13951
65536	32768	0.450321	13257
131072	1	0.478356	27729
131072	2	0.505263	26767
131072	4	0.534029	28696
131072	8	0.563015	28951
131072	16	0.591752	28719
131072	32	0.619828	28066
131072	64	0.644884	25050
131072	128	0.670859	25972
131072	256	0.696726	25864
131072	512	0.722928	26200
131072	1024	0.750094	27164
131072	2048	0.820059	69964
131072	4096	0.930495	110434
131072	8192	0.995614	65117
131072	16384	1.023888	28273
131072	32768	0.051715	27825
131072	65536	0.078227	26510
262144	1	0.133562	54756
262144	2	0.186402	52570
262144	4	0.243738	57197
262144	8	0.300817	57010
262144	16	0.356946	56094
262144	32	0.411913	54949
262144	64	0.462834	50911
262144	128	0.519374	56534
262144	256	0.579935	60557
262144	512	0.641228	61290
262144	1024	0.704586	63356
262144	2048	0.776757	72169
262144	4096	0.986989	210231
262144	8192	1.181694	194702
262144	16384	0.373972	192275
262144	32768	0.430406	56431
262144	65536	0.486020	55613
262144	131072	0.539493	53472
524288	1	0.651110	110498
524288	2	0.756335	104672
524288	4	0.869374	112771
524288	8	0.982275	112766
524288	16	1.094587	112244
524288	32	0.204559	109936
524288	64	0.313511	108932
524288	128	0.443562	130040
524288	256	0.600271	156701
524288	512	0.760250	159974
524288	1024	0.923989	163736
524288	2048	1.081164	157173
524288	4096	0.530750	449583
524288	8192	0.969642	438889
524288	16384	1.374017	404373
524288	32768	0.727143	353123
524288	65536	0.847580	120435
524288	131072	0.958767	111186
524288	262144	1.066722	107954
1048576	1	0.289495	220547
1048576	2	0.499556	208985
1048576	4	0.725347	225255
1048576	8	0.950661	225045
1048576	16	1.175377	224581
1048576	32	0.395293	219845
1048576	64	0.615709	220378
1048576	128	0.883879	268146
1048576	256	1.217284	333388
1048576	512	0.564735	347442
1048576	1024	0.915911	351169
1048576	2048	1.233947	318033
1048576	4096	1.136578	902627
1048576	8192	1.024897	888314
1048576	16384	0.873121	848221
1048576	32768	1.835380	962256
1048576	65536	1.507582	672199
1048576	131072	0.748591	241006
1048576	262144	0.971192	222598
1048576	524288	1.184334	213140
2097152	1	0.627995	439236
2097152	2	1.048445	418306
2097152	4	0.501183	451670
2097152	8	0.952305	450587
2097152	16	1.401361	448787
2097152	32	0.841339	439841
2097152	64	1.281580	440167
2097152	128	0.819002	537379
2097152	256	1.484470	665439
2097152	512	1.180652	696165
2097152	1024	0.889349	708688
2097152	2048	1.525433	636078
2097152	4096	2.329302	1803862
2097152	8192	2.137660	1808354
2097152	16384	1.885068	1747404
2097152	32768	2.777833	1892762
2097152	65536	2.752763	1974889
2097152	131072	2.392198	1639430
2097152	262144	0.876342	484142
2097152	524288	1.322338	445993
2097152	1048576	0.751553	429213
4194304	1	1.629086	868650
4194304	2	1.473733	840237
4194304	4	1.389175	913252
4194304	8	1.292205	901927
4194304	16	1.192346	899603
4194304	32	1.080298	887677
4194304	64	0.976561	896116
4194304	128	2.067884	1091234
4194304	256	1.417973	1350033
4194304	512	1.840181	1422177
4194304	1024	2.332432	1492233
4194304	2048	1.729643	1397197
4194304	4096	4.346300	3616644
4194304	8192	4.018785	3672477
4194304	16384	3.682439	3663648
4194304	32768	4.318582	3636136
4194304	65536	4.097490	3778905
4194304	131072	4.040742	3943247
4194304	262144	2.361628	2320883
4194304	524288	1.325228	963596
4194304	1048576	1.226728	901498
4194304	2097152	1.086899	860168
