size	stride	elapsed(s)	cycles
4096	1	0.002353	2354
4096	2	0.002342	2342
4096	4	0.002354	2354
4096	8	0.002344	2344
4096	16	0.001249	1250
4096	32	0.000990	990
4096	64	0.000963	963
4096	128	0.000996	996
4096	256	0.000916	917
4096	512	0.000901	901
4096	1024	0.000908	907
4096	2048	0.000960	960
8192	1	0.002008	2008
8192	2	0.001971	1972
8192	4	0.001975	1975
8192	8	0.001971	1970
8192	16	0.001982	1982
8192	32	0.001984	1984
8192	64	0.001997	1997
8192	128	0.001922	1922
8192	256	0.002011	2011
8192	512	0.001829	1829
8192	1024	0.001802	1803
8192	2048	0.001872	1872
8192	4096	0.002007	2007
16384	1	0.003953	3953
16384	2	0.003943	3943
16384	4	0.003941	3941
16384	8	0.003940	3939
16384	16	0.003950	3950
16384	32	0.003945	3945
16384	64	0.003952	3953
16384	128	0.003941	3941
16384	256	0.003859	3859
16384	512	0.003982	3982
16384	1024	0.003654	3655
16384	2048	0.003720	3720
16384	4096	0.003998	3998
16384	8192	0.004012	4013
32768	1	0.007890	7890
32768	2	0.007890	7890
32768	4	0.007891	7891
32768	8	0.007894	7893
32768	16	0.007902	7902
32768	32	0.007924	7924
32768	64	0.007946	7946
32768	128	0.007854	7854
32768	256	0.007881	7881
32768	512	0.007942	7942
32768	1024	0.007963	7963
32768	2048	0.007592	7592
32768	4096	0.008380	8380
32768	8192	0.008012	8011
32768	16384	0.008024	8024
65536	1	0.015804	15804
65536	2	0.015794	15793
65536	4	0.015804	15804
65536	8	0.015827	15827
65536	16	0.015907	15907
65536	32	0.016147	16147
65536	64	0.017651	17652
65536	128	0.017442	17442
65536	256	0.017626	17627
65536	512	0.017704	17704
65536	1024	0.017811	17811
65536	2048	0.019984	19984
65536	4096	0.051445	51445
65536	8192	0.016272	16273
65536	16384	0.015990	15990
65536	32768	0.016026	16026
131072	1	0.031618	31617
131072	2	0.031684	31683
131072	4	0.031645	31645
131072	8	0.031748	31748
131072	16	0.031939	31939
131072	32	0.032628	32627
131072	64	0.035702	35703
131072	128	0.034871	34871
131072	256	0.035020	35020
131072	512	0.035166	35165
131072	1024	0.036260	36260
131072	2048	0.038827	38827
131072	4096	0.101934	101934
131072	8192	0.100998	100998
131072	16384	0.032546	32547
131072	32768	0.031985	31985
131072	65536	0.032110	32110
262144	1	0.063361	63361
262144	2	0.063454	63454
262144	4	0.063529	63529
262144	8	0.063908	63908
262144	16	0.064392	64393
262144	32	0.066313	66313
262144	64	0.072076	72076
262144	128	0.070157	70157
262144	256	0.069421	69420
262144	512	0.069268	69268
262144	1024	0.074888	74888
262144	2048	0.087070	87070
262144	4096	0.205301	205301
262144	8192	0.204112	204112
262144	16384	0.195382	195382
262144	32768	0.065261	65261
262144	65536	0.063981	63980
262144	131072	0.064160	64160
524288	1	0.126692	126692
524288	2	0.126864	126864
524288	4	0.127186	127185
524288	8	0.127975	127976
524288	16	0.129488	129487
524288	32	0.134659	134659
524288	64	0.148822	148821
524288	128	0.145450	145450
524288	256	0.146456	146456
524288	512	0.150591	150592
524288	1024	0.167417	167417
524288	2048	0.192690	192690
524288	4096	0.356976	356976
524288	8192	0.417883	417883
524288	16384	0.395763	395763
524288	32768	0.372535	372535
524288	65536	0.141552	141552
524288	131072	0.127903	127903
524288	262144	0.128441	128441
1048576	1	0.253051	253051
1048576	2	0.253485	253485
1048576	4	0.254225	254224
1048576	8	0.255573	255574
1048576	16	0.258210	258210
1048576	32	0.268451	268451
1048576	64	0.296589	296589
1048576	128	0.291862	291863
1048576	256	0.294936	294935
1048576	512	0.303842	303842
1048576	1024	0.337132	337132
1048576	2048	0.387206	387206
1048576	4096	0.689395	689395
1048576	8192	0.847431	847430
1048576	16384	0.830686	830685
1048576	32768	0.781790	781790
1048576	65536	0.820868	820868
1048576	131072	0.282804	282804
1048576	262144	0.255936	255935
1048576	524288	0.256103	256103
2097152	1	0.506463	506463
2097152	2	0.507314	507314
2097152	4	0.508930	508930
2097152	8	0.512150	512149
2097152	16	0.517993	517993
2097152	32	0.538777	538777
2097152	64	0.596660	596661
2097152	128	0.584434	584434
2097152	256	0.590820	590821
2097152	512	0.609125	609125
2097152	1024	0.674855	674855
2097152	2048	0.774390	774390
2097152	4096	1.451817	1451817
2097152	8192	1.615607	1615606
2097152	16384	1.585443	1585443
2097152	32768	1.577559	1577559
2097152	65536	1.633640	1633640
2097152	131072	1.655700	1655700
2097152	262144	0.565635	565635
2097152	524288	0.511674	511674
2097152	1048576	0.512864	512864
4194304	1	1.028756	1028756
4194304	2	1.034840	1034839
4194304	4	1.027769	1027769
4194304	8	1.078594	1078594
4194304	16	1.195764	1195764
4194304	32	1.328715	1328715
4194304	64	1.644657	1644656
4194304	128	1.559984	1559984
4194304	256	1.642996	1642997
4194304	512	1.875298	1875298
4194304	1024	2.380050	2380050
4194304	2048	2.956080	2956079
4194304	4096	3.966921	3966921
4194304	8192	2.560418	2560418
4194304	16384	2.576177	2576178
4194304	32768	2.560092	2560092
4194304	65536	2.609587	2609587
4194304	131072	2.628990	2628989
4194304	262144	2.733434	2733433
4194304	524288	1.755784	1755783
4194304	1048576	1.023463	1023464
4194304	2097152	1.028497	1028497
