size	stride	elapsed(s)	cycles
4096	1	0.002241	2243
4096	2	0.002213	2213
4096	4	0.002200	2200
4096	8	0.002217	2217
4096	16	0.002214	2214
4096	32	0.001626	1626
4096	64	0.001007	1007
4096	128	0.001031	1031
4096	256	0.000916	917
4096	512	0.000919	919
4096	1024	0.000909	909
4096	2048	0.000960	960
8192	1	0.001992	1992
8192	2	0.001973	1973
8192	4	0.001972	1971
8192	8	0.001974	1974
8192	16	0.001979	1979
8192	32	0.001982	1982
8192	64	0.002000	2000
8192	128	0.002019	2019
8192	256	0.002062	2062
8192	512	0.001832	1832
8192	1024	0.001799	1798
8192	2048	0.001858	1858
8192	4096	0.001998	1998
16384	1	0.003944	3944
16384	2	0.003945	3945
16384	4	0.003940	3940
16384	8	0.003944	3944
16384	16	0.003952	3952
16384	32	0.003946	3946
16384	64	0.003954	3953
16384	128	0.003975	3975
16384	256	0.004031	4031
16384	512	0.004122	4123
16384	1024	0.003665	3665
16384	2048	0.003716	3716
16384	4096	0.004015	4015
16384	8192	0.004004	4005
32768	1	0.007918	7918
32768	2	0.007921	7922
32768	4	0.007942	7942
32768	8	0.008005	8005
32768	16	0.008029	8029
32768	32	0.008021	8022
32768	64	0.007975	7974
32768	128	0.007919	7919
32768	256	0.007950	7950
32768	512	0.008010	8010
32768	1024	0.008242	8242
32768	2048	0.007502	7503
32768	4096	0.008127	8127
32768	8192	0.008400	8399
32768	16384	0.008242	8242
65536	1	0.015912	15912
65536	2	0.015916	15916
65536	4	0.015926	15926
65536	8	0.016056	16056
65536	16	0.016222	16222
65536	32	0.016321	16321
65536	64	0.017857	17857
65536	128	0.017530	17530
65536	256	0.017767	17767
65536	512	0.018096	18096
65536	1024	0.017915	17914
65536	2048	0.019105	19104
65536	4096	0.051872	51872
65536	8192	0.016254	16253
65536	16384	0.016061	16061
65536	32768	0.016001	16000
131072	1	0.031679	31680
131072	2	0.031756	31755
131072	4	0.031762	31762
131072	8	0.031903	31903
131072	16	0.032138	32139
131072	32	0.032480	32480
131072	64	0.035693	35693
131072	128	0.034955	34955
131072	256	0.035296	35296
131072	512	0.035137	35137
131072	1024	0.036012	36012
131072	2048	0.038936	38935
131072	4096	0.100745	100745
131072	8192	0.103228	103229
131072	16384	0.032505	32506
131072	32768	0.032118	32118
131072	65536	0.032010	32010
262144	1	0.063361	63361
262144	2	0.063523	63523
262144	4	0.063589	63588
262144	8	0.064043	64044
262144	16	0.064671	64672
262144	32	0.065820	65820
262144	64	0.071821	71821
262144	128	0.070730	70730
262144	256	0.069539	69539
262144	512	0.069795	69795
262144	1024	0.076081	76081
262144	2048	0.087649	87649
262144	4096	0.208701	208701
262144	8192	0.201858	201858
262144	16384	0.207229	207230
262144	32768	0.065011	65011
262144	65536	0.064213	64212
262144	131072	0.064029	64029
524288	1	0.126645	126646
524288	2	0.126911	126911
524288	4	0.127168	127168
524288	8	0.128073	128073
524288	16	0.129590	129590
524288	32	0.133246	133246
524288	64	0.146336	146336
524288	128	0.146184	146184
524288	256	0.147191	147191
524288	512	0.151094	151093
524288	1024	0.168270	168270
524288	2048	0.193325	193325
524288	4096	0.422904	422903
524288	8192	0.414272	414272
524288	16384	0.389495	389495
524288	32768	0.397465	397465
524288	65536	0.142550	142550
524288	131072	0.129543	129543
524288	262144	0.129036	129037
1048576	1	0.253509	253509
1048576	2	0.254146	254146
1048576	4	0.254380	254381
1048576	8	0.256658	256657
1048576	16	0.259264	259264
1048576	32	0.266510	266510
1048576	64	0.294986	294986
1048576	128	0.294699	294699
1048576	256	0.295342	295342
1048576	512	0.303821	303821
1048576	1024	0.337460	337460
1048576	2048	0.387739	387739
1048576	4096	0.820518	820517
1048576	8192	0.833885	833885
1048576	16384	0.772820	772820
1048576	32768	0.810076	810076
1048576	65536	0.749020	749019
1048576	131072	0.283254	283255
1048576	262144	0.257010	257010
1048576	524288	0.256173	256173
2097152	1	0.506798	506798
2097152	2	0.507710	507710
2097152	4	0.508859	508859
2097152	8	0.512569	512569
2097152	16	0.518516	518516
2097152	32	0.533211	533211
2097152	64	0.585347	585348
2097152	128	0.585458	585458
2097152	256	0.591267	591267
2097152	512	0.608359	608359
2097152	1024	0.675203	675203
2097152	2048	0.774887	774886
2097152	4096	1.667131	1667131
2097152	8192	1.683741	1683741
2097152	16384	1.569918	1569918
2097152	32768	1.640884	1640884
2097152	65536	1.555539	1555539
2097152	131072	1.559881	1559881
2097152	262144	0.566830	566830
2097152	524288	0.513392	513392
2097152	1048576	0.512289	512289
4194304	1	1.031584	1031583
4194304	2	1.044169	1044168
4194304	4	1.029042	1029041
4194304	8	1.079442	1079443
4194304	16	1.181574	1181574
4194304	32	1.296581	1296581
4194304	64	1.573655	1573654
4194304	128	1.571829	1571829
4194304	256	1.649478	1649478
4194304	512	1.853894	1853893
4194304	1024	2.303839	2303839
4194304	2048	2.913485	2913485
4194304	4096	3.990255	3990254
4194304	8192	2.499845	2499844
4194304	16384	2.521273	2521272
4194304	32768	2.562739	2562739
4194304	65536	2.620036	2620036
4194304	131072	2.487401	2487401
4194304	262144	2.488208	2488208
4194304	524288	1.755758	1755757
4194304	1048576	1.027797	1027797
4194304	2097152	1.025850	1025850
